"xpath","variable_name_new","X","description","location_code_xsd","location_code","form","part","line_number","scope","data_type_xsd","data_type_simple","cardinality","rdb_table","production_rule","validated"
"/Return/ReturnData/IRS990ScheduleJ/ClubDuesOrFees","SJ_01_PC_CLUB_FEES",NA,"Club dues or fees","[ClubDuesOrFees] Part I Line 1a","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","CheckboxType","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/ClubDuesOrFeesInd","SJ_01_PC_CLUB_FEES",NA,"Club dues or fees","[ClubDuesOrFeesInd] Part I Line 1a","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","CheckboxType","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartI/ClubDuesOrFees","SJ_01_PC_CLUB_FEES",NA,"Club dues or fees","","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/TravelForCompanions","SJ_01_PC_COMPANION_TRAVEL",NA,"Travel for companions","[TravelForCompanions] Part I Line 1a","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","CheckboxType","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/TravelForCompanionsInd","SJ_01_PC_COMPANION_TRAVEL",NA,"Travel for companions","[TravelForCompanionsInd] Part I Line 1a","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","CheckboxType","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartI/TravelForCompanions","SJ_01_PC_COMPANION_TRAVEL",NA,"Travel for companions","","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/DiscretionarySpendingAccount","SJ_01_PC_DISCRETIONARY_ACCOUNT",NA,"Discretionary spending account","[DiscretionarySpendingAccount] Part I Line 1a","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","CheckboxType","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/DiscretionarySpendingAcctInd","SJ_01_PC_DISCRETIONARY_ACCOUNT",NA,"Discretionary spending account","[DiscretionarySpendingAcctInd] Part I Line 1a","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","CheckboxType","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartI/DiscretionarySpendingAccount","SJ_01_PC_DISCRETIONARY_ACCOUNT",NA,"Discretionary spending account","","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/FirstClassOrCharterTravel","SJ_01_PC_FIRST_CLASS_TRAVEL",NA,"First class or charter travel","[FirstClassOrCharterTravel] Part I Line 1a","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","CheckboxType","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/FirstClassOrCharterTravelInd","SJ_01_PC_FIRST_CLASS_TRAVEL",NA,"First class or charter travel","[FirstClassOrCharterTravelInd] Part I Line 1a","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","CheckboxType","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartI/FirstClassOrCharterTravel","SJ_01_PC_FIRST_CLASS_TRAVEL",NA,"First class or charter travel","","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","","text","ONE","SJ-P01-T00-CHECKLIST","","X"
"/Return/ReturnData/IRS990ScheduleJ/PaymentsForUseOfResidence","SJ_01_PC_HOME_OFFICE_SUBSIDY",NA,"Payments for use of residence","[PaymentsForUseOfResidence] Part I Line 1a","SCHED-J-PART-01-LINE-1a","SCHED-J","PART-01","Line 1a","PC","CheckboxType","text","ONE","SJ-P01-T00-CHECKLIST","","X"
